,Tweet,Sentiment
40,@Tang_color Tum india wale sari yahi sochti ho ki Pakistan wale atankistan h par nhi kuch he log lagti h thik Pakistani bhuta achi h   ,positive
41,@sardanarohit Rohit bhai I am your big fan Want to meet you   ,positive
42,@bavS9ZSdtS9YtXz ma lanat bhejta hn tun pe or tmare harami leader niazi pe   ,negative
43,@I_dont_slay @ATSBB 🤣🤣🤣🤣🤣 Inta seriously nahi leneka segments ko Segments are pure fun 80% nonsense and only cast makes sense   ,negative
44,@KRKBoxOffice @kamaalrkhan @itsBhushanKumar @ZeeMusicCompany Kutta bhonkne lga bhaiyo firse ....... sale gale me patt … ,negative
45,@shoaib100mph World cup mein mard nahi khusre gae hein jo larna nahi Twitter per @ZAbbasOfficial k sath talian bajana jaante hein   ,negative
46,@BeingSalmanKhan Bhaijaan ji please mein apka bahot bahot bada fan hoon please meri Jindagi bachalijiye please mein … ,neutral
47,@BabaJotwani The scene where sahil proposed to vedika ... That Dialogue was magical indeed coz I haven't heard that … ,positive
48,@yadavdimples @kanhaiyakumar @pbhushan1 A bhauji tohra ka haal ba tu kahe Ludhak gailu .... Eka matlab Akhilesh bha … ,neutral
49,Scratch that . KFC ke bhi auqaat nahi rahee after today's defeat - pesay doob gayee Sarfi ke chakaar main . Andaay … —… ,negative
50,RT @aakashsoni786 #DSSCampaignAgainstDrugAbuse @Gurmeetramrahim Papa Ji Aj Mera P hd Entrance Exam Tha Ap Ji Ki Rehmt se Bahut Acha ho gy …   ,positive
51,To all muslim sab e qadar mubarak 💓💓💓 ,positive
52,@Jainritesh_rj @abpnewshindi @ShashiTharoor kai bar product khrab nhi hota logo ki choice khrab hoti hai product ki … ,neutral
53,Aaiye Aapka Intezaar Tha .... DAMN !!!!! Kitna khoobsurat hai yeh ladka . Mashallah 😘😘😘 Can't wait for new season … ,positive
54,RT @Being_Zeeshan09 Love u Bhaijan ... Father + son .. #Bharat #IAmBharat BEST Pic From Entire #Promotions ... Mashallah 👌♥🔥 ,positive
55,@BaBoo_sAhEb_To Tera jat talbani Jess harqate kyu Kar tahe masum logo ko kyu Marta tab Tera ammi kaha Mar jate he … ,negative
56,@ANI Mazhab ke naam par Election jeetna koi bada kaarnama nahi hota A message to @asadowaisi and @narendramodi ,negative
57,@phata_dhol__Seriously one of the best post i have seen . Bravo nd respect   ,positive
58,RT @1RockChickie May Allah bless us all with strong imaan taqwa piety a pure heart and good manners . 🌹 Ya Allah give me eyes that se …   ,positive
59,Chiller man giving big jhtka #NSEcoloScam has made it a laughing stock @firstpost @aajtak @anjanaomkashyap ,neutral
60,RT @omcswe u do things for ppl u adore because u just want to . it's not a transaction . it's not give & take . u do because it's what u r su …   ,neutral
61,@GeetaJo03646903 Apne desh ke logo ko thug kar Chala Sanjeev Kapoor world cup dekne   ,negative
62,@aajtak ab ye btaega . isse pucho tere jiyne b MLA hai usme se gina hindu MLA kaunsa hai teri muslim awaadi wale gaao … ,neutral
63,@Aye_Haaa No lie I think you should buy a new pair bc I haven’t put these shits on the charger in a minute 😂   ,neutral
64,@fahadmustafa26 @aijazz7 @faysalquraishi @Jerjees Bhai yeah glasses wali admi kon hai jo appki har pic main hota hai ...?   ,neutral
65,RT @bhattd77 @MamtaOfficial @TajinderBagga @Sumita09445393 Mumta Bano Mhatma Ghandhi ki smadhi pe nhi jayegi kyu ? Vhan Ghandhi ji ke akhi …   ,neutral
66,@Deepak151089 @Beingmemyself @UrvashiKothari1 @LynchNashun @waglenikhil India me to modi ji aaane k baad muslims sa … ,neutral
67,Boy kiya age hy tmhri ✴❔❓⁉ Girl 17❗😏 Boy be mine . I LOVE YOU 😗❤💓 Girl I'm taken 💏 Boy abhi tmhri umer hi … ,neutral
68,@undefined_here @SyedaSaba12 @Syed_Ali_9 BTW kisi jhootay maseeha ko maseeha man leny sy qafir nahi ho jata koi .. K … ,negative
69,Mc hai sala @imVkohli sale lo jyada ghamand hai .. Kuch din ruk sale tera ghamand dur ho jayega .. ,neutral
70,@Shaan_pathan_14 @DwivediAnukriti Ikk toh sarkar job ni de rhi or upper se apne india ke log kaam karna nahi chahat … ,neutral
71,@RJDforIndia Han Chara ghotale mein bhi to laloo ne kitney hi gavahon ki maut ke ghat utar Diya that   ,negative
72,🏵️ Good Morning @Gurmeetramrahim papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa … ,positive
73,@mona_qau Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do Karz … ,neutral
74,@ur_boi_kdo Most unpractical and cool sword I’ve seen   ,neutral
75,@suhailswarraich Journals k bare me . Bt ki isne jbhi isko ye cripption Ka certificate dia Gaya h   ,positive
76,@GauravGarg888 @PrashantMavani sir #prashant_dhawan is kohinoor of study iq he is the best teacher of current aff … ,positive
77,@ReallySwara Last checked MP me Congress ki Sarkar hai and law and order is a state subject .   ,neutral
78,@RAShahzad1 Yeah jo aap hamara roza kharaab karay hain na yeh uss ka notice hay lol . Allah aap ko aur aap ki family … ,neutral
79,Desh ke gaddaro ke liye 5 saal bahut painful hoge kyoki Mota Bhai is now home minister of India 🇮🇳 💪😜😜 ,neutral
80,🌺 Ekto aap log 😉 muskurate bhut ho ...... or sharmate 😆 bhi bhut ho ..... Dil to karta hi Aaplogon ko Eid pr bolaun ..… ,positive
81,@marvisirmed @mjdawar Nice joke tmhare ghaddaron ko danda janay waala hai landay Ka istimal maal .. pakra hai ussay … ,neutral
82,@sherryontopp Antar atma ko bech Diya hain jab tak beijjat karke bhagaya nahi jata tab tak nahi hilega lekin rahe … ,positive
83,Khan sahab apko vote diya taky ap PM bany or Alhamdulillah ap bany bi PM 😘😘😘 magar Khan Sahab ab to gabraht ho rahi … ,neutral
84,@pnbindia sir mere a/c se 22/04/2019 ko Rs1180 /= deduct ho gaya hai kekin branch office kahta ki mai nahi janta ki k … ,neutral
85,@__Amrann You can’t even be nice for a second smh 😓 salaam my love 😩   ,neutral
86,@AmitShah @narendramodi Aapko bahut bahut badhai ho Amitshah ji asha karte Hain ki aap bhi Modi ji ki tarah hi hama … ,neutral
87,@MileyCyrus It would bring me great joy to hear your rendition of Des’ree’s “ You Gotta Be ”. Just sayin . XOXO   ,neutral
88,@MaryamNSharif Mera khayal he apki nazron se woh document nehein guzra jis me apke papa ne bahir janey keley Mushar … ,neutral
89,RT @amnajhk no one no one at all jane the virgin narrator i knoOW ! straight out of a telenovela right ?????   ,neutral
90,@RajivBrar1810 @addatoday @ajaydevgn @Rakulpreet Bhai plz bhagwan kre #Bharat acchi movie ho qki #dedepyarde jitna … ,neutral
91,RT @GuruOfficial Wishing my bro @officialvee a very happy birthday . Many more hits on the way together 🙏😊 THANKYOU for giving music to so …   ,positive
92,RT @arydigitalasia Apki aik gawahi ne Mannat ko pagal saabit kerdia hai ... Watch #Cheekh tonight at 1000 PM only on #ARYDigital ,neutral
93,just listened to my first jojo siwa song ............. i am a fan lol   ,neutral
94,@RamshaOfficial Sara masla is hi bande ki wajh se hai .. yehi fasad ki jar hai ... is ko team nhe chalane ati ... In palyers ka aps men hasd hai   ,neutral
95,@Being_SK_Chetan @taran_adarsh Abe chutiye tera criminal jaisa ghatiya publicity stunt to nhi kr rha h n jo unneces … ,negative
96,@purplemoon_613 Kung hnd ko pa checheck bat ka DM ko mukha ni Jungkooky hnd ko maalala na ikaw to HAHAHA   ,neutral
97,Baby you did an amazing job today .. i hope you’re feeling good .. i wish i would be at your hotel room wating for yo … ,positive
98,Dil k khush krny ko ghalib khyal acha ha .... what a myth 😂 ,neutral
99,@MaryamNSharif ALLAH jise chahe Izaat de r jise chahey zilat dt Dua ha ALLAH Nawaz shareef ko us k khandan ko r u … ,neutral
100,RT @RajheshVaidhya #NGK good one ... kudos to the heroes @Suriya_offl @selvaraghavan @thisisysr   ,positive
101,@IndiaToday @OfficeOfKNath SAHI HOGA SAYAD TABHI SIRF APPKI CHANNEL PE YE DIKH RAHA HAI WARNA KUCH BIKAV MEDIA … ,neutral
102,@Mr_Ez1403 Ja na Pakistani 🐖 pig + Dukkar + kutta + suvar ki mix aulad 😂😂😝😝😆😆😛😛🤣🤣😖😖😆😆😆   ,negative
103,Aise barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h Ku6 to khyal kar Tera intzar har koi nahi karega … ,neutral
104,@anooymous @IlhanMN What the fuck does this mean apna neeche ka band karke rakhna jyada kholne ki jaroorat hani ??… ,negative
105,Ham tu ak ayena ha tu dikhaya gya dagh chahru ka Jis ku bura laga samna sa hat jay .... We love pak army 👍💪💪 ,neutral
106,@BCCI @DineshKarthik Happy birthday to you bhai . I pray to BABA VISHWANATH for your good health and bright future .… ,neutral
107,@Gurmeetramrahim good morning pita ji thanks for the new day pls bless me sewa sumrin and parmarth bakso ji … ,neutral
108,@indiatvnews @ITBP_official @manishindiatv Superbbb voice arjun ji u have 🤗 realy its mean it so much ❤ i salute yuh .… ,positive
109,@chhavi Absolutely right But in the history of independent India inclusion & secularism were talked about but nev … ,neutral
110,@Snowycaa Thicccccccc ! XD ( I can confirm that @Snowycaa did this for a dare . I'm one of the witness hahaha .)   ,positive
111,@rajnathsingh congrats sir .... Lucknow ki shaan bada di aapne ... veerta aur shaurya ki missal ab aap pesh kariyega ... Jai Hind   ,neutral
112,@IamHaseebAhmad @majorgauravarya @UN Ha ha ha . Cow mutr peeke we have won all wars against you guys . You should st … ,neutral
113,@GdBakshiJe Modi ke jitne ka asar vipaksh pe he nahi padosiyo pe bhi hua hai . Bokhla gaye sare ke sare . Modi akela … ,positive
114,@IamImranAshraf Bholy bhayaa . Ufffff dil jeet liya ap ne . Love you imran bhai . Mind blowing ap ki acting hai . ALLA … ,positive
115,@Triumvirate1 @darshanbhatt22 @Cid_r4y Pori dunya 2019 main or tum log abhi bhi 1971 main 😂😂😂😂 Growup Ab kisi ko bhaija to sath khud aa jana   ,neutral
116,RT @ooobhaishab @TerriblyMemer ne aate hi half century kr di 😂 Thnku bhai itne like ke liye 😁 ,positive
117,@pranchal54 @RemovArticle370 @BJP4India Jansankhya aur atikraman desh ka sabse bada samasya hai Beat plastic pollution Jai hind   ,neutral
118,@ObcCarvan @Hariramkoushik OBC bhikhari nahi hai aur bhenchod bheemte obc naam ka account bnakar apni maa chuda rah … ,negative
119,@Dr_fizakhan #Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do … ,neutral
120,@aleemkhan_pti Janab Thank you Very Much for your short Break @my place )) May Allah protect you & your family … ,positive
121,@gnnhdofficial @Shahidmasooddr @sayedzbukhari @ImranKhanPTI @PTIofficial @pmln_org @MediaCellPPP Chalo g BC inhi c … ,neutral
122,@akashbanerjee 👌 CONGRATULATIONS 👌 AKASH BHAI AAP KO PHIR SE 5 SAAL ➕ KA CONTRACT ✔ MIL GAYA #KeepItUp NOTE - SORRY … ,positive
123,@peaceforchange Husain haqqani sab ap time nikal k mar q nahi jatay is dharti py bojh he ho tum gaddar besharam .   ,negative
124,RT @pepsi Nothing like a fresh hit of Pepsi on a day like today 👌 ,positive
125,@Rehan30837935 @jalee_na @brumbyoz Pehle Tu apna photo DP rak phir bark kar kutte ki tarah Chal bhag yaha bandhar kahika   ,negative
126,@SrBachchan Sir need ur blessing on my 9 wedding anniversary myself my wife sonia Pranam you AAP ka ashirwad b … ,positive
127,@Abhishekkar_CNBC 🤣🤣🤣🤣🤣🤣 AKA sir ne to CNBC ke pahele bol diya tha ,neutral
128,Nxt five years main India change hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai ... Ye main ni hmare modi sir ka kehna hai   ,positive
129,@IamImranAshraf Uff kya acting he Bholey ji apki !!! Kamaal krdya . Aisa koi actor hi nai abtk jo is charactr k saat … ,positive
130,Raand Congress se v Randwa RJD se buri tarah se HAARA vote denewale ko sadhuwad   ,neutral
131,RT @Varun_dvn KALANK in theatres now #Zafar aap ka hain A character I loved playing in this epic love story No spoilers please ,positive
132,@PiyushGoyal @narendramodi Bahut bahut badhai AAP jaise logo ke Karan hi Modi ji Ko majboori Mili hai . isi tarah se … ,positive
133,@TahaSSiddiqui sasty or ghatya nashy kar k ye suwar samjhty is trah ki bakwas kar k humein sasti publicity mil jaegi   ,negative
134,RT @sanjaymanjrekar Proud to have been part of this brilliant commercial released during 1996 WC time . Great production team that include …   ,positive
135,@SKFforlife Haha Overrated kisko bolte hain chuuuu pehle yeh pata kar BC ata pata kuchh nahi chale aate hain … ,negative
136,POGO launches all new show kalari-kids Love the enthusiasm of my little ones when they saw #Chhotabheem dancing an … ,positive
137,@f_i_r_k_i Pakistani to aise hi 1992 ki rote rhte hain uss time to England ne 74 pe kar diya tha all-out . Iss baar bhi wohi ummeed hai 😂😂   ,positive
138,I wanted to see you in Loksabha @kanhaiyakumar It's OK kanhaiya ji vichaar badlenge desh badlega vidhyarthi … ,positive
139,@JBhrahmin @ankimast Wow tum red plain saree pahen na bahut cute lagegi . Red plain saree with sleeveless blouse . Will look so awasome   ,neutral
140,@ChaBoyyHD Chaa .. Can ihave any cheap Ak ? Cuz Ak it's my Fav Weapon .. If u wan we can battle .. if i win u give me … ,positive
141,Day by day this slogan has proven to be true afghani bhagao mulk bachao !   ,negative
142,@manakgupta wo election ke liye badha ke btaya tha accpt this is bar election commission or media ko bhi bewakoof bnaya h janta ke sath   ,negative
143,@republic He is a bemaar bhikhari kutta why was he dying dub his stupid movies in hindi no wonder the people of tn … ,neutral
144,@abpnewshindi ABP news 5 saal se mon nahi bhara Congress ko koste sawal karte ab tweet duwara mazaak urane aare … ,negative
145,RT @SharmaRaghvi EVM hack ka bahana nhi chla paye 😜 Ab fir ye saath nikli slips ka le aaye Fir bhi ho gyi bye bye 👋👋 😝😜😂😂 #EVMScandal #EVM …   ,neutral
146,RT @Laliinsan1gmai1 Dhan dhan satguru tera hi aasra papa g good morning pita g @Gurmeetramrahim @derasachasauda #PledgeAgainstCorruption …   ,positive
147,Manmohan Singh being considered for party presidents post Ek chuppi hazaar baton se behtar hai usse badhiya udaharan nahi ho sakta   ,neutral
148,One India sabka saath sabka vikas sabka visvas ,positive
149,@Aban__Ind Prothom Kolkata campaigncalling media sangbad Biswa Bangla etc eisob chotokhato channel gulo dekho . Sudhu jai sree ram cholche .   ,neutral
150,@kshukla778 @Payal_Rohatgi Tere maa baap ne bohat badhiya sikhaya hai certificate batna sabko ki kaun kiska chamcha … ,negative
151,I miss them we were a craze .. we used for them .. bas koi kuch galat bolde .. old memories ,neutral
152,@mamata_for_PM Mumtaz bano hindu ko dhamki de rahi hai . bengal me hi nai pure desh me hindu ka khoon garam ho chuka … ,positive
153,@brokengaal i love u so much 😭♥️ and theres absolutely nothing to be insecure about bc ur unique in ur own way ok u … ,positive
154,@MaryamNSharif ap beti hein apko beshak apny baap ki yaad ati hoo gi Allah apko hosla dy pr certainly apka baap ek … ,positive
155,Thank you all for supporting @wayuutaya THANK YOU . THANK YOU !!! strongwitheliza samanthajayz angelmartin00 galiya_s … ,positive
156,@dhruv_rathee Han to gaand k keede cow meat kliye pehle se bnde convicted h yeh log aur jb ban h to teri maa ko khilane jaa rha tha   ,negative
157,It’s proud moment for Ganjam that more than 83 students of Odisha Aadarsh Vidyalaya of Ganjam scored more than 90%… ,positive
158,#PAKvWI 92 me WI 10 wickets se jeeta tha ajj 7 wickets se jeet gya world cup hamara hai .... Ye wali chawle koi na m … ,positive
159,RT @official_engr @peaceforchange Sir merey lye bahut khoshi ka maqam hoga agr ap ne mujy reply kya . Love you sir ❤ ,neutral
160,I Love You '3000' I said ' Ek raat ka 5000 lungi ' she replied . #NewGFKiTalsshMe   ,positive
161,@engrzeeshan91 Pr ye oopr jo btaya wo to surgery ni h na 😂   ,neutral
162,@tamannaahspeaks Very nice Tamanna Tamanna very nice I like you   ,positive
163,@SachinPilot Apko deputy CM se minister chief kb bnaya ja rhaa h we r waiting   ,positive
164,@akshay_vbk78 @spectatorindex Tera pichwada hai bc 🤣🤣 jb se modi ji jeete hai jali padi hai 🤣 Tabse pichwaade ki jagah muh se hag rahe ho   ,positive
165,@SAfridiOfficial Shahid bahi wahab riaz ki bowling mein experience nahi sirf wide aur no balls hi hain   ,negative
166,@shirishy_Isko nikal dia tha world cup 2011 me sayad Ek Banda call p Aya bolta h India england and Australia ni ayga semifinal m   ,negative
167,RT @Sukhjaykumar1 #PledgeAgainstCorruption @Gurmeetramrahim Good afternoon guru g . bless us and give us power to do more and more Sewa S …   ,positive
168,It’s so nice seeing the glow-up of people after May-hem 😍 Congrats guys 👌🏻 wohooo !!! Bbye Tired Year !!!   ,positive
169,@AcharyaPramodk Jitni media ne bjp ke liye prachar ki hai utna to khud bjp ne bhi bjp ke liye nahi surgical strike … ,positive
170,RT @aftabkatauli1 @khanumarfa @thewire_in @therealnaomib @SrishtiTW Siasat me rawadari hai samajhta hai . Wo roza to nahi rahta iftari sam …   ,positive
171,@SAMBIT_PATRAg @anjanaomkashyap Sab she pahele tere gahr me kanon lago kr kiyo ke teri faimly pr tera kabo nahi he … ,neutral
172,@arjunrammeghwal @nstomar @JoshiPralhad @PIBHindi @PIB_India Arjun Ji 🙏🌹 jai punrasar baba ki Jai Bikaner Rajasthan … ,neutral
173,@theskindoctor13 Doc saab bahut he badhiya video banaya andhere se much better hai   ,neutral
174,@MalboBagums Sari shairi tassali aur dilasay pay hi munhasir hoti hai .. warna shairi kyun karay koi agar pas ho kuch 😜   ,positive
175,@hSghRjpt1 @Nationalist_Om gandhi ko ham isliye rastrapita mante hai kyu ki wo ahinsa vadi the ye nahi hote to aja … ,positive
176,@kamaalrkhan If i am not wrong you loved soty 2 naa ??😹😹   ,positive
177,Samaj mai ye nahi aaraha ki kyun halat mai sudhaar nahi ho raha hai kyun karyawahi nahi ki ja rahi roads per the … ,positive
178,@squintneon Usko toh kejriwal ne khud reject kar diya tha . Education minister toh kejriwal khud bana sakta tha ? Raj … ,negative
179,@sunoo_chanda make a gentle and nice relation with someone .... life me kisi k sahare ki zarort parti ha   ,neutral
180,@dur_rahiye Sex is cool but after nikah ose phele kise ko hath laga ne ka bhi haq nai hai hume   ,positive
181,@KElectricPk Sub bakwas ha ye apni harkaton se baz nhi ayen ge kisi na kisi fault ko jawaz bana kr ye light band ra … ,negative
182,@AamAadmiParty @ArvindKejriwal x cm Shila dixet or under karne wale the feku tum annaji ko b dhokha de diya   ,neutral
183,@pramila2710 @DrKumarVishwas Lekin itne kharab result se KUTA BAUNA HARAMI HANDSOME SUVAR SINGH etc ka gussa … ,negative
184,RT @SonuNag13101789 #ValueTime_ValueLife @Gurmeetramrahim @Derasachasauda Pujya guru ji kehte h ki jo insan samya ki kader karte h alasya …   ,neutral
185,@imMAK02 Are bsdkk ... Dhruv Tyagi ke bare main kitni bar Muslim aatankwad bola tune ... Vivek hatyakand ke bad teri zu … ,negative
186,@ZarinaBano_Bharat ka Musalman hamesha secular govt k liye vote karta raha hai karta rahega . Haar jeet 1 sikke k d … ,positive
187,Congress party ne pehle se feku bhakt Media ka agenda samaj liya hote to ye chunav nhi hartefeku bhakt Media ne fe … ,negative
188,@Vipul49997183 @dtptraffic Ghoda Ghaans se Dosti kar lega to khayega kya .. Delhi Sarkaar Home Ministry public ki na … ,negative
189,RT @BurgerKing for real tho we’re trying to pay off those loans . introducing Whopper Loans – make a purchase through the BK app for a cha …   ,neutral
190,RT @TAETAE_PH Watching #BTSatWembley is making me miss them more . Sighhh I’m really hoping for BTS in PH 🥺😭💜 we miss you everyday guys @BTS …   ,positive
191,@asadowaisi How come he was the first man . What about earlier incidents .. Ab inke Naam se roti pel raha hai ... Shame on you   ,negative
192,Need is branch ke students ki hai jisase digiral India par force diya ja sake aur corruption bhi na ho .... Mai shr … ,positive
193,Aap pichla 5 saal se media ka ghatna kramank Ko rewind karke dekhiye jabbi vipaksh ne ruling party ke neeti ke baar … ,positive
194,@htTweets @harijdas7 aur bakwas karma aur TV per galat sandesh dena to kam hua Instead each Congressi Neta aur Kar … ,negative
195,@SatyaHindi @ashutosh83B Desh aaghe baad raha hai ye religion ke naam pe bakwas karna baand karo .. aur tumhare AAP bhaiyon ko bhi shikhao ..   ,positive
196,RT @aamir_khan I'm very sad to hear about Veeruji passing away I had the pleasure & privilege of working with Veeruji He was an amazing pe …   ,positive
197,RT @smithmaheshwari * Me as a father * Son - Papa aaj main night study ke liye jau ga Me - kitne baje Son - 10 baje tak Me - Haan …   ,neutral
198,@saleem_mohad ham log ko koe dukh nhi hay tumko hay to Pakistan ja 🤨🤨🤨🤨🤨🤨🤨🤨   ,neutral
199,@breatheapril I know it's so late for me to comment on this tweet but I just wanna say I really miss you and your n … ,neutral
200,@INCMP MP m Kamalnath government ko vote diye the ki Employment milega pr 6 months ho gye ghanta kuch ni hua na aagey kuch hoga   ,negative
201,@StarMoo75329799 @HarunKh67113991 @jandkheadlines @Shehla_Rashid Krishna tab tha jab tera allah peda bhi nahi hua … ,negative
202,show acha chalna chahiye people dont care kisko chance diya kisko nhi jo main h kisliye hai Entertainment jyada krt … ,positive
203,RT @psf_team Lathi Goli Ki Sarkar Nhi Chalegi Nhi Chalegi ,negative
204,@AkhileshPSingh Chal be har gaya ab to sudhar ja .. Ki fir se uncle @RahulGandhi ko harwayega . Tere jeson ki wajah s … ,positive
205,@ASIFCHUGHTAI987 @matineees @Payal_777 @NavidocSingh @Markhor_pak @DonPilots @AbdulQa13248496 @KabristaanC … ,neutral
206,@asli_sapna we eradicate Untouchability & poverty is a sin for life .   ,positive
207,@sid_abu @GulBukhari @GandharaRFE Kute ki tarah bhonkta he jb k ye farishta k cousin ka wo attitude he jo tere jese … ,negative
208,@narendramodi Respected PM Modi jiii Hamare Odisha ka Educational System ka Daityo Aparajita Sadangi mam ko dene ke … ,neutral
209,@AzamJamil53 Kab k uth gye Gulshan k karobar bhi chal pare Fed the dogs did the few dishes left from last night laundry going on 🤗   ,negative
210,RT @LukeEclair #FF Have a great weekend ! @politicaldani @Bhav_Popat @ConnorJonesCons @ali_panju @theblondpond @stephiebellabb @MrRhysBenja …   ,positive
211,Modi chor ko pta tha k EVM set ho chuki h aur election commission ko inform kr diya gaya h k hme 300 seat chahiye e … ,negative
212,@mlkhattar Sir Congratulations on your marvellous victory @BJP but it seems that no one is ever bothered about sev … ,negative
213,@AnwarLodhi Make sure he becomes the bootlicker exactly the way you are . Allah apke saye se is masoom ko bachaye . Ameen !   ,negative
214,@Lalitrashtraban @sherryontopp pahle usko bulao jisne kaha tha notebandi fail hui to ap mujhe beech chaurahe par phansi par latka dena 😁   ,neutral
215,M ạ nh m ẽ l ê n nh é em g á i stay strong Lalisa . We always love you ❤️. #AlwaysStayWithLalisa ,positive
